year,movie,actor,dialogue,englishDialogue
1991,Deshwasi,Satish Shah,"Rajneeti aur dharam yeh do aaise shastra hai ... jisse koi bhi bandhan kaate ja sakte hai, todhe ja sakte hai",Politics and religion are two such weapons ... with which you can cut and break any relationship
1991,Deshwasi,Manoj Kumar,Deshwasi ke seene se goli paar nahi hoti ... vapas jaati hai,A bullet cannot pass through the chest of a patriot ... it returns back
1991,Deshwasi,Satish Shah,Dharam afeem ki woh goli hai ... jisse sari janta ko mast rakha ja sakta hai,Religion is that pill of opium ... with which you can keep all the people happy
1991,Dil Hai Ke Manta Nahin,Aamir Khan,"In buson ka yahi chakkar hai ... time par aati hai, time par jaati hai",These buses have the same issue ... they come on time and they leave on time
1991,Dil Hai Ke Manta Nahin,Anupam Kher,Tum aaise ulloo ke patthe ke saath kaise shaadi kar sakti ho?,How can you marry such a fool?
1991,Dil Hai Ke Manta Nahin,Anupam Kher,For your naughtiness ... I will eat a papad and you will get a jhapad,For your naughtiness ... I will eat a papadum and you will get a slap
1991,Dushman Devta,Aditya Pancholi,Is revolver ki che ki che goliyan tere seene mein maut ki keel banakar tokh doonga,I'll smash the 6 bullets of this revolver in your body like the nails of death
1991,Dushman Devta,Dharmendra,"Na sode ke saath, na pani ke saath ... main toh peeyunga apni rani ke saath","Not with soda, neither with water ... I'll drink with my queen"
1991,Dushman Devta,Sadashiv Amrapurkar,Jaise daane daane par khane waale ka naam likha hota hai ... vaise hi meri har goli par marne waale ka naam hota hai,Just like on every bite of food is written the name of the person who will eat it ... just like that on every bullet of mine is written the name of the person who will die from it
1991,Indrajeet,Jaya Prada,"Aurat chahe maa ho, behen ho ya beti ho ... uske bhagya mein rona hi likha hai ... woh chahe bhagwan ko bhi janam de ... uske naseeb mein aasoon hi aasoon hai","Whether a woman is a mother, a sister or a daughter ... crying is written in her destiny ... and even if she gives birth to god ... she still will have tears in her fate"
1991,Indrajeet,Amitabh Bachchan,Police ki naukri karne ke liye jigar ispat ka aur badan faulad ka banana padta hai,To do the job of police you need to have the courage of steel and a strong body
1991,Indrajeet,Amitabh Bachchan,Vishvas ek bahut hi nazuk sheesha hota hai ... ek baar toot jaye toh dobara judta nahi,Trust is a very brittle mirror ... once it breaks then it can never be fixed
1991,Indrajeet,Amitabh Bachchan,Apradh agar pataal ke andheron mein bhi chup jaye ... toh bhi sazaa peecha karte hue wahan pahunch jaati hai,Even if crime hides in the darkness of the underworld ... still punishment will follow it and get there
1991,Indrajeet,Amitabh Bachchan,Zulm aur atyachar se tum mere shareer ko khatam kar sakte ho ... lekin insaaf aur nyay ke liye pukarti hui meri aatma ki awaaz nahi daba sakte,You can finish my body with injustice and oppression ... but you can't suppress the voice of my soul calling for justice and equity
1991,Indrajeet,Amitabh Bachchan,Aayenda kabhi aaisi harkat ki ... toh bina khaal ke gadhe ki tarah saare sansar mein ghoomte hue nazar aaoge,If you ever do such a thing again ... then you'll be seen wandering around the entire world like a donkey without skin
1991,Love,Shafi Inamdar,Prem sachchai hai ... is sachchai ko aaj tak na koi maar saka hai aur na koi maar sakega,Love is the truth ... no one till date has been able to kill this truth and no one will ever be able to
1991,Love,Salman Khan,Har majboor aurat meri maa lagti hai,Every helpless women is my mother
1991,Love,Shafi Inamdar,Aurat ko aur saari ko sambhalna bahut mushkil kaam hai,It is a very difficult task to handle women and a saari
1991,Jeevan Daata,Gulshan Grover,"Hamari duniya mein pehla mauka hi aakhri mauka hota hai ... chahe jeene ka ho, chahe marne ka",In our world the first chance is the last chance ... be it of living or dying
1991,Jeevan Daata,Raza Murad,"Dukh ek aaisi cheez hai ... usse jitna mehsoos karoge, woh utna hi badega","Sorrow is one such thing ... the more you feel it, the more it grows"
1991,Jeevan Daata,Aditya Pancholi,Us kamine ko main dhoondkar aaisi sazaa doonga ... ki us sazaa ke naam se maut tak kaanp uthegi,I will find and punish that scoundrel in such a way that ... even death will tremble with the name of that punishment
1991,Jeevan Daata,Sonu Walia,"Paap aur jurm ... na toh dharam maaf karta hai, na samaaj aur na hi kanoon","Sins and crimes ... are not forgiven by religion, by society and neither by the law"
1991,Jeevan Daata,Kiran Kumar,Jis din nazar aaoge na ... us din tumhari zindagi ko sametkar maut ki chaadar mein lapet doonga,The day I see you ... that day I will assemble your life and roll it into the bedsheet of death
1991,Jeevan Daata,Navin Nischol,Farz ko nibhate huye jeena hi hamare jeevan ka karz hai,It is the loan of our life to keep living by fulfilling our duty
1991,Jeevan Daata,Navin Nischol,Kanoon mujrim ke saath kabhi haath nahi milata ... uske haathon mein hathkadiyan pehnata hai,The law never shakes a hand with the criminal ... it puts on the handcuffs on his hands
1991,Lamhe,Sridevi,Sabhi badhe hote hai ... magar koi apne badhon se bada nahi hota,Everyone grows up ... but no one can become bigger than their elders
1991,Lamhe,Sridevi,Sawaal ke jawaab mein sawaal nahi kiya jaata,You shouldn't ask question when answering a question
1991,Lamhe,Sridevi,"Khane ka shaunk aapko bhi hai, khane ka shaunk mujhe bhi hai ... ghumne ka shaunk aapko bhi hai, ghumne ka shaunk mujhe bhi hai ... gappe ladane ka shaunk aapko bhi hai, gappe ladane ka shaunk mujhe bhi hai ... aur sabse zyada important baat yeh hai ... ki hasne ka shaunk aapko bhi hai aur hasne ka shaunk mujhe bhi hai",You love to eat and I love to eat also ... you love to go around and I love to go around also ... you love to talk and I love to talk also ... and the most important thing is that ... you love to laugh and I love to laugh also
1991,Lamhe,Anupam Kher,Jinhe ulfat ki khushiyan mil sake woh shaunk se lele ... hum mein chhodo hum toh apni kismat aazma behte,"Those who can get the happiness of love, get it ... but leave me alone since I have tried my luck"
1991,Lamhe,Sridevi,Pyar aur dard ki koi seema nahi hoti,Love and pain has no boundaries
1991,Lamhe,Anupam Kher,Pyar mein dil ki baat dil mein nahi rakhni chahiye ... keh zaroor deni chahiye,In love you shouldn't keep what's in your heart in the heart ... you should definitely say it out
1991,Lamhe,Anupam Kher,Mohabbat ke paas business sense hi toh nahi hoti ... tabhi toh woh fayde aur nuksaan ke bare mein nahi sochti ... issi liye aam taur pe har love story tragedy par hi khatam hoti hai,Love doesn't have a business sense ... that's why it can't think about profit and loss ... and that's why usually every love story ends with a tragedy
1991,Hum,Rajinikanth,"Jis tarah zameen par pair rakhe bagair insaan chal nahi sakta ... us hi tarah mujrim kanoon se bhaag sakta hai, lekin bach nahi sakta","Just like a person can't walk without putting his feet on the ground ... just like that a criminal can run from the law, but he cannot escape"
1991,Hum,Kader Khan,Mohabbat ko samajhna hai toh pyare khud mohabbat kar ... kinare se kabhi andaaz-e-toofan nahi hota,If you want to understand love and then fall in love yourself ... because you cannot get the sense of the storm from the shore
1991,Hum,Kader Khan,"Kya ishq ka khoon kisi sahukar ke paan ki pichkari hai ... kya tumhari zindagi zindagi, hamari zindagi bimari hai ... tumhara khoon khoon, hamara khoon pani hai ... tumhara naam naam, hamara naam gaali hai ... tum karo zulm toh woh sarkari hai ... aur hum kare fariyad toh woh gaddari hai","Is the blood of love like a rich mans spit from eating betel leaves ... is your life life, and mines is a sickness ... is your blood blood, and mines water ... is your name name, and mines a curse ... if you do injustice then it's legal ... and if I make a complaint then it's unfaithful"
1991,Hum,Amitabh Bachchan,Is duniya mein do tarah ka keeda hota hai ... ek woh joh kachre se uthta hai ... aur doosra woh joh paap ki gandhgi se uthta hai ... kachre waala keeda insaan ko beemar kar deta hai ... magar paap ki gandhgi ka keeda saare samaaj ko beemar kar deta hai,There are two types of bugs in this world ... one that rises from the trash ... and other that rises from the filthiness of sin ... the bug from the trash makes people sick ... but the bug from the filthiness of sin makes the entire society sick
1991,Hum,Anupam Kher,Yeh khoon bhi saali badi ajeeb cheez hai ... apne nikle toh dard hota hai ... lekin doosre ke nikle toh mazaa aata hai,Blood is a very strange thing ... it pains when we are bleeding ... but if someone else is bleeding then it is fun
1991,Hum,Kader Khan,Hosh mein aa zaalim gareeb jaagne waala hai ... tayaar raho bhaiyo ab yeh khujane waala hai,Come to your senses you ruthless person because the poor is about to wake up ... be ready my friends he is now going to scratch
1991,Hum,Amitabh Bachchan,Aaisi maut marenge ... ki ek baar maut ko bhi paseena aa jayega,"We will kill you in a way that ... at least once, even death will be sweating"
1991,Hum,Kader Khan,Makkari ki mitti se janam lene waale gaddari ke paude,You traitorous plant born from the mud of deceitfulness
1991,Hum,Kader Khan,Mohabbat mitt nahi sakti zamaane ke sataane se ... ke suraj bhuj nahi sakta paani mein dubaane se,Love cannot be erased by the harassment of the world ... and the sun doesn't go dark when it drowns in the water
1991,Hum,Danny Denzongpa,Yahan gaddari ki sazaa sirf maut hoti hai ... maut,Here the punishment of traitorship is only death ... death
1991,Hum,Amitabh Bachchan,Ungliyaan kaant dene se haath nahi kat jaata,By cutting fingers the whole hand does not get cut
1991,Hum,Kader Khan,Hum nahi teer aur talwar se marne waale ... katal karna hai toh ek tirchi nazar kafi hai,I won't die with the arrow and sword ... if you want to kill me then only one look is needed
1991,Hum,Anupam Kher,Baghavat mein teen kisam ke log hote hai ... pehla taqat ke zor pe zulm karne waala atyachari ... doosra us atyachari ke khilaf awaaz uthane waala krantikari ... aur teesra in dono ki situation ka fayda uthane waala mere jaisa vyapari,There are 3 kinds of people in a revolution ... one who does the injustice based on power ... second the revolutionist who raises his voice against the atrocity ... and third is a businessman like me who takes the benefit of the situation these two are in
1991,Hum,Amitabh Bachchan,Kachre ke keede ko maarne ke liye Flit bazaar mein milta hai ... magar paap ke keede ko maarne waala Flit saala bana hi nahi hai aaj tak,"You get Flit in the market to kill the bugs from the trash ... but to kill the bugs of sin, bloody there is no Flit that has been made till today"
1991,Hum,Anupam Kher,Shanti shanti ... do minute shanti ... uske baad kranti,Silence silence ... two minutes of silence ... and then you can revolt
1991,Hum,Amitabh Bachchan,Insaan ke bheetar se shaitan janam leta hai ... wafaadar ke khoon se baaghi pehda hota hai,A demon rises from within the human itself ... and a rebel rises from within the faithful
1991,Hum,Anupam Kher,Apne mooh ki kamaan se shabdon ke tootte huye teer mat choda kar,Don't fire the broken arrow of words from the bow of your mouth
1991,Hum,Amitabh Bachchan,Bachpan ki buri aadatein aur buri baatein insaan ko bura bana deti hai,The bad habits and bad things of childhood make a person into a bad one
1991,Hum,Kader Khan,Ladki ki khoobsurati shareer ko dhakne mein hai ... shareer ki numaish karne mein nahi hai,The beauty of a girl is in covering her body ... not in exposing her body
1991,Hum,Kader Khan,Badalo hat jao dedo raah jaane ke liye ... ke Laila aa rahi hai Majnu se ishq farmaane ke liye,Move over the clouds so that there is a path ... because Laila is coming to make love to Majnu
1991,Hum,Kader Khan,Hum taaliyan sun sakte hai ... magar gaaliyan nahi sun sakte hai,I can hear claps ... but I can't hear cursing
1991,Hum,Anupam Kher,Saale buzdili ki gaud mein pale geedad ki sauteli aulad,Bloody you stepson of a jackal grown in the lap of cowardness
1991,Nachnewale Gaanewale,Shahbaz Khan,Is duniya mein jis kisi ko tarakki ki seedi se upar chadna hota hai na ... usse na anpadh jahil hona chahiye ... aur na hi anpadh aur jahilon se koi rishta rakhna chahiye,In this world a person who wants to climb the ladder of success ... he must not be uneducated and ignorant ... and neither must he keep any relationship with the uneducated and ignorant
1991,Nachnewale Gaanewale,Kader Khan,Shayaron ki mehfil mein jaate hai toh shayar ho jaate hai ... aur koi apne se tagda mil jaye toh kayar ho jaate hai ... zindagi ki gadi mein fit kardo toh tyre ho jaate hai ... aur agar bandook mein fit kardo toh fire ho jaate hai,When we go in a party of poets then we become a poet ... and if we get someone stronger than us then we become cowards ... if you fit us in the car of life then we become tyres ... and if you fit us in a gun then we get fired
1991,Nachnewale Gaanewale,Sheeba,Sitaron se aage jahaan aur bhi hai ... abhi ishq ke imtihan aur bhi hai,There is a world beyond the stars ... and there are still more examinations left in love
1991,Nachnewale Gaanewale,Kader Khan,"Maine is duniya mein bahut saare logon ko daulat aa jaane ke baad apna ghar badalte dekha hai, halaat badalte dekha hai, kapde badalte dekha hai ... maa baap badalte kisi ko nahi dekha hai","I have seen a lot of people in this world who have changed their house, changed their conditions, changed their clothing after getting money ... but I've never seen anyone changing his parents"
1991,Nachnewale Gaanewale,Sheeba,Bansuri ke chhed ungliyon se chupakar jaise sur nikalte hai ... apne zakhmon ko muskurahat se chupakar duniya mein khushi baatna shuru ki jiye,Just like you hide the holes in a flute with your fingers to create a tune ... just like that hide your wounds with your smile and start spreading happiness in this world
1991,Nachnewale Gaanewale,Kader Khan,"Daulat se tu mahal khareed sakta hai, gaadiyan khareed sakta hai, chaaplusi karne waale dost khareed sakta hai ... magar gaaliyon mein duayen dene waala yeh baap nahi khareed sakta","With money you can buy a mansion, you can buy cars, you can buy friends who butter you ... but you can't buy a father who prays for you, even when he scolds you"
1991,Nachnewale Gaanewale,Kader Khan,Abhe bewakoofi ke laltern se nikalne waale andhere,Hey you darkness coming out from the lamp of foolishness
1991,Nachnewale Gaanewale,Kader Khan,Agar bete ka kadh baap se ooncha ho jaaye toh beta apne baap ka baap nahi hota hai ... woh saala bete ka beta hi hota hai,"If a son grows taller than his father, then the son doesn't become the father of his father ... he remains as a son only"
1991,Patthar Ke Phool,Vinod Mehra,"Sachai woh diya hai, jisse agar pahad par jala do ... toh roshni toh bahut kam door tak karta hai ... magar dikhta bahut door se hai","Truth is that lamp, which when you light on a mountain ... it gives very less light ... but you can see it from far away"
1991,Patthar Ke Phool,Pradeep Rawat,"Maut se kya darna, usse toh aana hai ... do din ki hai zindagi, hum mein apna farz nibhana hai","Why should one be scared of death, it has to come ... life is of a couple of days, and we have to obey our duty"
1991,Patthar Ke Phool,Goga Kapoor,Khudkhushi karne ke liye insaan ka pagal hona bahut zaroori hai,It is very important for a person to be mad to commit suicide
1991,Patthar Ke Phool,Salman Khan,Aapne yeh toh suna hoga ki ghee tedhi ungli se nikalta hai ... magar shayad yeh nahi suna ki sach bandh mukke se nikalta hai,You must have heard that you can extract clarified butter with a twisted finger ... but you must have not heard that you can extract the truth with a fist
1991,Patthar Ke Phool,Manohar Singh,Insaan ki majboori ... ussoolon ke zanjeeron ko kachche dhaago ki tarah todh deti hai,The helplessness of a man ... can break the shackles of his principles just like a weak thread
1991,Patthar Ke Phool,Manohar Singh,Duniya mein har bimaari ka koi na koi ilaaj hai ... magar shaq ka koi ilaaj nahi,Every disease in this world has a cure ... but suspicion has no cure
1991,Patthar Ke Phool,Reema Lagoo,Yeh duniya rishto ke naam maangti hai,This world will ask a name for relationships
1991,Patthar Ke Phool,Vinod Mehra,"Mujrim nishaano ka nishaana ban jaata hai ... ya de jaata hai, ya le jaata hai","A criminal becomes a target of targets ... either he gives, or he takes"
1991,Patthar Ke Phool,Vinod Mehra,Aadmi pahad se girkar toh uth sakta hai ... magar apni nazaron se girkar nahi,A man can get up after falling from a mountain ... but he can't if he falls in his own eyes
1991,Patthar Ke Phool,Manohar Singh,"Duniya mein koi bhi ussool itna mazboot nahi hota ... jisse pareshani, takleef aur bhook todh nahi sakti","No principle in this world is so strong that ... it can't be broken by problems, troubles and hunger"
1991,Patthar Ke Phool,Goga Kapoor,Yahan tum hukum dene nahi ... lene aaye ho,You have come here not to give instructions ... but to follow them
1991,Patthar Ke Phool,Vinod Mehra,"Joh kachche dhaago ki tarah toot jaaye ... woh ussool nahi, kamzor iraadein hote hai","Things that break like weak threads ... are not principles, they are weak intentions"
1991,Prem Qaidi,Harish Kumar,Pyar puja ke barabar hota hai,Love is the same as worship
1991,Prem Qaidi,Karisma Kapoor,Bhagwan ke prasad ko na karna paap hai,It is a sin to reject God's blessing
1991,Prem Qaidi,Dalip Tahil,Zindagi complications ka combination hai,Life is a combination of complications
1991,Prem Qaidi,Rama Vij,Gussa karne wali maa se gumrah karne wala baap kabhi bada nahi hota,A mother who scolds is always bigger than a father who misguides
1991,Prem Qaidi,Bharat Bhushan,Gareeb ko sirf roti ka sapna dekhna chahiye ... pyar ka nahi,A poor man should only dream about food ... not about love
1991,Prem Qaidi,Rama Vij,Kutte ko darwaaze ke bahar hi baithna chahiye ... aur aadmi ko ghar ke andar hi,Dogs should sit outside the house ... and humans should be inside
1991,Prem Qaidi,Rama Vij,"Agar pati achcha na ho, toh aulad ke bharose jee sakte hai ... aur agar aulad galat raaste par chalne lage, toh pati ke bharose jee sakte hai","If your husband is not good, then you can live trusting your child ... and if the child starts to walk on the wrong path, then you can live trusting your husband"
1991,Prem Qaidi,Rama Vij,Woh log bhi is duniya mein nahi rahe ... joh dharm ki deewar khadi karke pyar ke aade aaye,People who built the wall of religion and came in the path of love ... don't exists anymore in this world
1991,Sadak,Sanjay Dutt,Main wapas zaroor aaonga ... aur uss din aakhri baar teri photo chapegi ... zinda nahi murda,"I will definitely comeback ... and that day your picture will be published for the last time ... not as living, but dead"
1991,Sadak,Deepak Tijori,Apan jab se pehda hua hai ... tab se yeh sadak hi apna ghar hai aur yeh footpath hi apna bistar,Since I was born ... this road has been my house and this footpath has been my bed
1991,Sanam Bewafa,Pran,Anjaam unka wahi hoga joh tu chahta hai ... lekin hoga vaise jaise hum chahte hai,Their end will be as you want ... but it will happen as I want
1991,Sanam Bewafa,Pran,Awaaz toh teri ek din main neechi karoonga ... sher ki tarah garajne waala ... billi ki zabaan bolega,One day I will lower your voice ... someone who roars like a tiger ... will talk like a cat
1991,Sanam Bewafa,Danny Denzongpa,Ek baar aasman se giri hui bijliyan vapas laut sakti hai ... toofan apna rukh badal sakta hai ... lekin is Sher Khan ka faisla kabhi nahi badal sakta,For once the lightning that falls from the sky can go back ... a storm can change its path ... but the decision made by Sher Khan will never change
1991,Sanam Bewafa,Danny Denzongpa,Ek pahaad ka naam hai Sher Khan ... aur pahaad na kisi ke samne chalkar jaate hai ... na kisi ke samne jhukte hai,Sher Khan is the name of a mountain ... and a mountain doesn't go to anyone ... and neither does it bow down in front of anyone
1991,Sanam Bewafa,Salman Khan,Apne guroor ko zinda rakhne ke liye ... hamari masoom mohabbat par apni dushmani ka aaisa koi kila mat bandiye ... jiski buniyaad aapko khoon ki nadiyon par rakhni padhe,To keep your pride alive ... don't tie any fort of animosity on our innocent love ... the foundation of which you have to lay on the rivers of blood
1991,Sanam Bewafa,Pran,Hamare dil mein chupe nafrat ke angaaron aur hawa na de ... varna tu is aag mein jalkar raakh ho jayega,Don't blow the embers of hatred hidden in my heart ... or else you will you burn into ashes in this fire
1991,Sanam Bewafa,Danny Denzongpa,Joh khoon peena jaante hai ... woh aasoon bhi pee jaate hai,Those who know how to drink blood ... they can drink tears also
1991,Sanam Bewafa,Pran,Beti ke rishtey kaanch ka khilona nahi hote ... jinse dil bahel gaya aur todkar ghar ke bahar phek diya,"The relations of a daughter are not like toys made from glass ... which can be broken and thrown out of the house, once you are done with it"
1991,Sanam Bewafa,Pran,Jab hamari tarah pachpan ke ho jaoge ... toh aaisa bachpan ka sawaal nahi karoge,When you turn 55 years old as me ... then you won't ask such a childish question
1991,Sanam Bewafa,Danny Denzongpa,Talwaron se khelne waale motiyon se khelne lage ... toh unki taqaton ko zung lag jaata hai,If people who play with swords play with pearls ... then their strength gets rusted
1991,Sanam Bewafa,Danny Denzongpa,Sabse pehle apni akad aur apni zid ki jhadon ko aag laga ... varna dukhon ke aaise badal mandrayenge ... ke is ghar mein aasoonyon ke sailaab aa jayenge,First burn the roots of your attitude and stubbornness ... or else the clouds of sorrow will hover over you ... and there will be a flood of tears in this house
1991,Sanam Bewafa,Danny Denzongpa,"Jis tarah reghistaan mein pyasa, ek ek boond pani ke liye tadap tadapkar apna dum todhta hai ... ussi tarah Fateh Khan hamare inteqam se tadap tadapkar apni ek ek saans todega",Just like a thirsty person dies with agony for a single drop of water in the desert ... just like that Fateh Khan will agonize and die bit by bit from my revenge
1991,Sanam Bewafa,Danny Denzongpa,"Sher Khan woh heera hai, joh gale se lag jaaye toh haar hai ... aur gale se utar jaaye toh talwar hai","Sher Khan is that diamond, which is like a necklace when he hangs on your neck ... and like a sword when he comes down from the neck"
1991,Sanam Bewafa,Danny Denzongpa,Aan ke samne jaan ki keemat kuch bhi nahi,Life has no value in front of honour
1991,Sanam Bewafa,Salman Khan,Duniya hum mein kehti hai Salman Khan ... hum aapko kis naam se pukarein meri jaan?,The world calls me Salman Khan ... what should I call you my love?
1991,Sanam Bewafa,Vijayendra Ghatge,Bandookon aur talwaaron se sirf insaanon ka khoon behta hai ... faisle nahi hote,Guns and swords can only shed the blood of humans ... they cannot be used to make decisions
1991,Sanam Bewafa,Dina Pathak,Khoon bahane se rishtey tootte hai,Relationships break when blood flows
1998,Angaaray (1998),Akshay Kumar,"Stall ka pachees, balcony ka pachaas ... ek ticket bacha hai, baki sab khallas","Rs.25 for stall, Rs.50 for balcony ... only one ticket is left, everything else is sold out"
1998,Angaaray (1998),Gulshan Grover,Jurm aur dharam ka dhanda darr ke bal pe hi toh chalta hai,The business of crime and religion runs on the basis of fear
1991,Trinetra,Mithun Chakraborty,Meri maa ka ek ek aasoon teri chitta ka angaar banega ... aur teri sau sau cheekhen mere pita ki ek ek cheekh ka muhafaza degi,Every tear drop of my mother will turn into the ember of your pyre ... and hundreds of your screams will pay the price for every scream of my father
1991,Trinetra,Deepa Sahi,Tu utne din hi zinda hai jitne din tak main jail mein hoon ... meri azaadi ka pehla din teri zindagi ka aakhri din hoga,You will only stay alive for the days that I'm in jail ... the first day of my release will be the last day of your life
1991,Trinetra,Deepa Sahi,"Taqat jism ki nahi hoti, taqat haddiyon ki nahi hoti ... taqat irradon ki hoti hai","Strength of the body doesn't matter, strength of the bones doesn't matter ... what matters is the strength of the intentions"
1991,Trinetra,Deepa Sahi,"Mera beeta hua kal, mera aaj aur mera aane waala kal ... teeno par khoon ke dastakhat hai ... kal mere haathon ek khoon hua tha ... aaj main ek ek din apni nazaron mein nafrat bharkar ek aur khoon karne ki taqat jutta rahi hoon ... aur kal mere haathon ek aur khoon hoga","My past, my present and my future ... all three have the signature of blood on them ... yesterday I killed someone with my hands ... today one day at a time I'm filling hatred in my eyes and collecting the strength to kill one more person ... and tomorrow I'll kill one more person with my hands"
1991,Yodha,Aanjjan Srivastav,Chal padhe jidhar bhi ek pag ... chal padhe hazaron pag ussi aur ... gadh gayi jidhar bhi ek drishti ... gahd gaye hazaron drig ussi aur,The direction in which one leg moves ... thousands of legs start moving in that direction ... where one vision gets stuck ... over there thousands of eyes have got stuck
1991,Yodha,Sunny Deol,"Jab ek ki doosre se ranjish ho, usse dushmani kaha jaata hai ... aur jab do yodha mil jaye, usse jung ka elaan","When there is animosity between two people, it's called as enmity ... and when two knights unite, it's called the announcement of a war"
1991,Yodha,Sunny Deol,"Maut roz toh nahi aati, sirf ek baar aati hai ... aur uska din aur samay bhagwan muqarar karta hai ... darwaaze pe cheekne waala dushman nahi","Death doesn't come everyday, it just comes once ... and god decides the day and time for that ... not the enemy who shouts on your door"
1991,Yodha,Sanjay Dutt,Gunehghar aur mujrim ka rishta ya kanoon se hota hai ... ya phir bandook ki goli se,A culprit or a criminal is either related to the law ... or a bullet from a gun
1991,Yodha,Sunny Deol,Main goli aur boli dono zubaane jaanta hoon,I know the language of bullet and words both
1991,Yodha,Sanjay Dutt,Aaj main tujhe tab tak maaroonga ... jab tak tu apni arthi par letne ke kaabil nahi ho jaata,Today I'll keep hitting you ... until you are in a condition to lie down on your pyre
1991,Yodha,Sunny Deol,Dimaag ki charbi ke saath saath main badan ki charbi bhi nikal deta hoon,"Along with removing attitude from the brain, I also remove the fat from the body"
1991,Yodha,Danny Denzongpa,"Kisse, kab aur kaise ... is jahan se doosre jahan mein bhejna hai ... is baat ka faisla main karta hoon","Who, when and how ... has to be sent from this world to another world ... I take that decision"
1991,Yodha,Sunny Deol,Noton ki gaddiyan mooh mein lekar bhaunkne waalon ki ... hum mein koi parwah nahi,Those who bark with a bundle of money in their mouth ... we don't care about them
1991,Yodha,Sunny Deol,Zindagi ke imtehan mein aaise mauke bhi aate hai ... jab insaan ko sachchai chupani padti hai,In the exam of life some situations come ... where a person has to hide the truth
1991,Yodha,Danny Denzongpa,"Jis din sahi mauka mila main us haramzade ko barbaad kar doonga ... aur phir log meri izzat karenge, mere paas kursi hogi, taqat hogi ... kanoon mera ghulam hoga aur kanoon ki devi meri rakhail","The day I get the right opportunity I'll destroy that bastard ... and then people will respect me, I'll have the position, the power ... the law will be my slave and lady of the law will be my mistress"
1991,Yodha,Sunny Deol,Kanoon tere haathon ka khilona hai ... khoon karna tera pesha hai ... gharon ko barbaad karna tera karam hai ... duniya mein makkari phailana tera dharam hai ... tu laathi se nahi goliyon ke dum par is duniya mein jee raha hai,The law is a toy in your hands ... killing someone is your occupation ... destroying homes is your deed ... spreading cunningness is your religion ... and you're living in this world on the basis of a bullet and not a stick
1998,Bade Miyan Chote Miyan,Govinda,"Tum kya apne aap ko Mughal-e-Azam, hum log ko Anarkali samajhta hai be ... kitna nacha raha hai?",Do you think you are a royal king and we are salves ... how much are you making us dance?
1998,Bade Miyan Chote Miyan,Govinda,Yeh cheating nahi hai ... yeh setting hai,This is not cheating ... this is setting
1998,Bade Miyan Chote Miyan,Amitabh Bachchan,"Khuda ke karam se, ishwar ki krupa se aur public ki demand se","By Gods grace, generosity and by public demand"
1998,Aunty No. 1,Satish Kaushik,Vaise toh main ek frustated aadmi hoon ... meri story ka pata nahi hai ... finance ka thikana nahi hai ... hero date nahi de raha hai ... heroine keh rahi hai ki main poore kapde pehnungi,I'm a frustrated person ... I don't know where my story is ... I don't know about my finances ... the hero is not giving any date ... the heroine is saying she will wear full clothes
1998,Aunty No. 1,Govinda,Yeh duniya jhoot ke paiyon par chalne waali woh gaadi hai ... jis mein petrol ki jagah gareebon ke armaan jalte hai,This world is a car that runs on the wheels of lies ... which burns the hopes of the poor people rather than petrol
1998,Aunty No. 1,Govinda,Vishvas vaade ke daldal ki zameen par khadi dhue ki woh deewar hai ... jispe na toh koi insaan reh sakta hai aur naa hi koi sachai ki keel thok sakta hai,Trust is a wall of smoke that is standing on the ground of a bog of promise ... on which no person can stand and neither can anyone put a nail of truth on it
1998,Aunty No. 1,Govinda,"Bheek maange se aadmi zaleel aur zaar hota hai ... aur nikal jaye jis phool se khushbo, woh phool bekaar hota hai","By begging a person becomes humiliated and shameful ... and the flower which has lost its fragrance, that flower is useless"
1998,Aunty No. 1,Govinda,"Is shehar ki barsaat ka, neta ki baat ka aur producer ki zaat ka ... kabhi bharosa nahi karna chahiye ... kyun ki yeh sab jhoot bechte hai","You should never trust the rain of this city, the words of a politician and the persona of a producer ... because all of these sell lies"
1998,Aunty No. 1,Govinda,America jis galeban mein phool daalta hai ... Russia jis galeban mein haar daalta hai ... tumne us galeban pe haath daala?,The neck on which America puts flowers ... the neck on which Russia puts a garland ... you put your hands on that neck?
1998,Aunty No. 1,Raza Murad,Mujhe dokha dene waala mujhe nahi balki ... apni zindagi ko dokha de jaata hai ... is duniya ko aakhri salaam keh jaata hai,The people who betray me don't cheat me ... they betray their life ... and they give their last salute to life and go away
1998,Aunty No. 1,Raza Murad,Is duniya mein aadmi joh sochta hai woh hota nahi ... aur joh hota hai woh usne socha nahi hota,In this world whatever a person thinks that doesn't happen ... and whatever happens that he has not even thought of
1998,Aunty No. 1,Govinda,Jinka maal pakda jaata hai ... unki maut unki zindagi ko pakad leti hai,Those who get their merchandise caught ... their death catches up to their life
1998,Aunty No. 1,Govinda,Bahar jinki hoti hai puja ... andhar se woh aadmi hota hai duja,The people who are worshipped from the outside ... they are someone else from the inside
1998,Dil Se,Shahrukh Khan,Sabse zyada pasand mujhe yeh doori hai ... kyun ki agar ye doori na ho ... toh tumhare kareeb aane ka bahana na mile,I love this distance the most ... because if this distance isn't there ... then I won't have a reason to come near you
1998,Dil Se,Manisha Koirala,Kuch log ret par likhe naamo ki tarah hote hai ... hawa ka ek hi jhoka jinhe udha deta hai,Some people are like names written on the sand ... with one gust of wind they blow away
